,Index,Subject,Block,Trial,TrialType,LeftContext,RightContext,LeftItem,RightItem,LeftRank,RightRank,D_Ranks,LeftValue,RightValue,D_Value,Choice,Correct,ChoiceRT,ITI,LeftTragetLoc,RightTragetLoc,LeftContext1,LeftContext2,RightContext1,RightContext2,att,LeftContext1_val,LeftContext2_val,RightContext1_val,RightContext2_val
65,66,201,1,66,Hl,Low,High,Parker_Pen,Tea_Box,35,24,11,17.63,11.43,6.2,1,1,916.41,880.92,2,1,Flashlight,Stormtrooper_USB,Popcorn_Machine,Pulse_Clock,0,3.8,3.366666667,30,30
66,67,201,1,67,Hl,High,Low,Parker_Pen,Toaster,35,47,-12,17.63,25.5,-7.87,2,1,666.42,1056.72,2,2,Whiskey,Popcorn_Machine,Pizza,Newton_Cradle,0,30,30,2.166666667,1.333333333
67,68,201,1,68,hh,High,High,Scale_Kitchen,Melon_Cutter,29,38,-9,15.77,18.2,-2.43,1,0,549.78,1143.37,2,2,Pan,Computer_Tray,Popcorn_Machine,Pan,0,28.9,29.1,30,28.9
68,69,201,1,69,ll,Low,Low,Scale_Kitchen,Thermos,29,45,-16,15.77,23.97,-8.2,2,1,599.79,863.91,2,3,Flashlight,Chocolate,Newton_Cradle,Gold_USB,0,3.8,1.7,1.333333333,0.5
69,70,201,1,70,Hl,Low,High,Box_Pig,Parker_Pen,40,35,5,19,17.63,1.37,1,1,549.93,1096.76,1,2,Newton_Cradle,Flashlight,Vodka,Pan,0,1.333333333,3.8,30,28.9
70,71,201,1,71,hh,High,High,Fan,Portable_Speaker,19,33,-14,9.4,17.6,-8.2,2,1,566.51,913.12,3,2,Pulse_Clock,Vodka,Computer_Tray,Whiskey,0,30,30,29.1,30
71,72,201,1,72,ll,Low,Low,Women_Hairblower,Sleeping_Bag,30,20,10,16.2,9.83,6.37,1,1,416.39,829.18,2,2,Flashlight,Pointer,Pizza,Chocolate,0,3.8,0.733333333,2.166666667,1.7
72,73,201,1,73,Hl,Low,High,Stove,Flight_Pillow,44,12,32,23.4,5.73,17.67,1,1,649.67,1050.6,2,3,Pointer,Cake,Computer_Tray,Whiskey,0,0.733333333,1.1,29.1,30
73,74,201,1,74,Hh,Low,High,Scale_Kitchen,Thermos,29,45,-16,15.77,23.97,-8.2,2,1,433.15,833.72,3,2,Gold_USB,Flashlight,White_Wine,Popcorn_Machine,0,0.5,3.8,29.96666667,30
74,75,201,1,75,Hl,High,Low,Measuring_Tape,Mouse,11,26,-15,5.13,14.1,-8.97,1,0,383.07,833.8,1,1,Sushi_Kit,Popcorn_Machine,Chocolate,Newton_Cradle,0,30,30,1.7,1.333333333
